TheaterMovieId	ShowDatetime	NormalizedAttendance
4120	1430065800.0	12.702906158
4120	1430073600.0	13.0874343006
4120	1430137800.0	8.60977768999
4120	1430152200.0	1.19322400663
4120	1430160000.0	12.9564465694
4120	1430224200.0	2.45993648285
4120	1430238600.0	13.1254640729
4120	1430325600.0	4.746826718
4120	1430332500.0	4.10026302357
4120	1430418900.0	13.3349573914
4120	1430482800.0	37.7686952235
4120	1430505300.0	9.23778950419
4120	1430569200.0	38.9735291344
4120	1430591700.0	29.1198470595
4120	1430663700.0	12.2699491406
4120	1430678100.0	20.8895343358
4120	1430742900.0	5.84225708259
4120	1430750100.0	2.67582746863
4120	1430757300.0	12.6612557568
4120	1430764500.0	6.46216519183
4120	1430829300.0	2.92112854129
4120	1430836500.0	6.68956867158
4120	1430843700.0	12.6612557568
4120	1430930400.0	7.01359999934
4120	1431016800.0	7.87237023793
4120	1431102600.0	11.9580639112
4120	1431189000.0	5.37040259803
4120	1431277800.0	6.00346206801
4120	1431362400.0	5.2870496941
4120	1431440100.0	5.14430576791
4120	1431448800.0	7.84949511152
4120	1453397700.0	5.11495528903
4120	1453484100.0	34.3191940542
4120	1453743300.0	4.70570752221
4120	1453814700.0	8.88650965203
3377	1457536800.0	3.51416747535
3377	1457796600.0	7.46045248319
3377	1457800200.0	10.962608052
3377	1458142200.0	12.2108310999
3377	1458394200.0	6.43455426601
3924	1397044800.0	36.9439980951
3924	1397067300.0	41.8758107395
3924	1397153700.0	28.7032142796
3924	1397242800.0	33.5195895139
3924	1397312700.0	11.4749646567
3924	1397330100.0	44.9004306726
3924	1397390400.0	48.9410500413
3924	1397412900.0	28.0232540104
3924	1397499300.0	25.7006882483
3924	1397585700.0	37.418736561
3924	1397649600.0	7.38879961902
3924	1397672100.0	18.1461846538
3924	1397758500.0	9.13284090714
3924	1397848200.0	38.5195534511
3924	1397934600.0	18.4858398182
3924	1397995200.0	21.8335304594
3924	1398017700.0	20.3371872719
3924	1398083400.0	19.0770349595
3924	1398096000.0	16.1027133826
3924	1398170100.0	7.41385897105
3924	1398190500.0	13.1134823464
3924	1398455400.0	14.4918658888
3924	1398541800.0	20.8436761804
3924	1398607200.0	29.0036071328
3924	1398693600.0	20.8458818524
3924	1398787200.0	35.4210276758
3471	1348056600.0	82.8701077647
3471	1348079100.0	77.8202761689
3471	1348165500.0	40.9762907342
3471	1348252800.0	58.2501983966
3471	1348323300.0	11.535094581
3471	1348340400.0	87.0029535628
3471	1348401600.0	83.9176283553
3471	1348424700.0	57.7070240778
3471	1348489500.0	59.7161287142
3471	1348511100.0	60.9997431767
3471	1348575900.0	9.51637923741
3471	1348597500.0	14.4340456989
3471	1348683900.0	40.4665436078
3471	1348863000.0	39.6205726538
3471	1348926300.0	41.0096249589
3471	1348949400.0	63.8378981525
3471	1349006400.0	17.2138724831
3471	1349021400.0	23.0714147306
3471	1349115900.0	11.618260289
3305	1355922900.0	31.5620828287
3305	1355938500.0	31.5169471549
3305	1355945700.0	29.1377687386
3305	1356032100.0	23.616937863
3305	1356110100.0	14.2242060487
3305	1356117300.0	29.0213752997
3305	1356124500.0	13.4828377147
3305	1356182400.0	16.9369127774
3305	1356196500.0	20.653435969
3305	1356203700.0	22.8970675609
3305	1356210900.0	40.5410909992
3305	1356276300.0	43.22858197
3305	1356283500.0	43.3420819539
3305	1356291300.0	48.8198148761
3305	1356362700.0	19.4627867468
3305	1356369900.0	33.3534099794
3305	1356377100.0	42.4138162267
3305	1356449700.0	28.140900511
3305	1356456900.0	19.7266296832
3305	1356464100.0	16.990178728
3305	1356536400.0	54.7993108749
3305	1356551100.0	51.2744605708
3305	1356630000.0	52.7495719408
3305	1356637500.0	35.3793777938
3305	1356713400.0	44.6572854401
3305	1356723000.0	44.8932897116
3305	1356729900.0	33.1334376802
3305	1356809100.0	37.2461136399
3305	1356816300.0	28.4697296087
3305	1356888300.0	46.676088258
3305	1356896700.0	50.7689224291
3305	1356975600.0	52.7495719408
3305	1356983100.0	57.4273958393
3305	1357069500.0	15.6752764119
3305	1357133100.0	32.0374796721
3305	1357147500.0	36.3268668847
3305	1357155300.0	35.7721825822
3305	1357219500.0	20.5039869901
3305	1357233300.0	32.7873331
3305	1357241700.0	35.7721825822
3305	1357305300.0	33.0052526257
3305	1357326900.0	44.7992860168
3305	1357334100.0	46.9111787355
3305	1357392300.0	28.064551252
3305	1357406100.0	36.3534875767
3305	1357413300.0	44.3522017597
3305	1357420500.0	31.2978390983
3305	1357478700.0	79.0117874635
3305	1357492500.0	26.1797750621
3305	1357500900.0	13.0198494191
3305	1357580100.0	14.1171225666
3305	1357587300.0	28.2829039395
3305	1357651500.0	15.5513918911
3305	1357666500.0	32.2142022944
3305	1357752900.0	7.29935221236
3305	1357760100.0	10.122498651
3305	1357846500.0	19.1439613035
3305	1357932300.0	27.6273207821
3305	1357939200.0	30.2721924458
3305	1358018700.0	31.158445855
3305	1358025600.0	42.1941952185
3305	1358090700.0	57.0876910533
3305	1358098500.0	19.9847674747
3305	1358105700.0	18.398329584
3305	1358169900.0	12.3919201939
3305	1358184900.0	14.1171225666
3305	1358192100.0	5.30304448865
3305	1358278500.0	25.8656442503
